request type,api end point,request headers,request body,response code,response body,comments
POST,/api/v1.0/flight/airline/inventory/add,Content-Type: application/json; Authorization: Bearer <ADMIN_TOKEN>,"{
""airlineId"": ""AL123"",
""flightNumber"": ""AI202"",
""from"": ""BLR"",
""to"": ""DEL"",
""departureDateTime"": ""2025-12-20T09:30:00"",
""arrivalDateTime"": ""2025-12-20T11:45:00"",
""seatClasses"": [
{
""classType"": ""ECONOMY"",
""totalSeats"": 150,
""price"": 4500,
""refundable"": false,
""baggageLimitKg"": 15,
""mealsIncluded"": false
},
{
""classType"": ""BUSINESS"",
""totalSeats"": 24,
""price"": 9500,
""refundable"": true,
""baggageLimitKg"": 30,
""mealsIncluded"": true
},
{
""classType"": ""FIRST"",
""totalSeats"": 6,
""price"": 18000,
""refundable"": true,
""baggageLimitKg"": 40,
""mealsIncluded"": true
}
],
""mealOptions"": [""VEG"", ""NON_VEG""]
}
",201 Created / 400 Bad Request / 409 Conflict,"{
""status"": ""SUCCESS"",
""message"": ""Inventory added"",
""inventoryId"": ""INV-20251220-AI202""
}",Admin-only endpoint.
POST,/api/v1.0/flight/search,Content-Type: application/json,"{
""from"": ""BLR"",
""to"": ""DEL"",
""departureDate"": ""2025-12-20"",
""returnDate"": null,
""tripType"": ""ONE_WAY"",
""passengers"": 2,
""class"": ""ECONOMY"",
""filters"": {
""maxPrice"": 8000,
""airlines"": [
""AI"",
""6E""
],
""nonStopOnly"": false
}
}",x,"{
""results"": [
{
""flightId"": ""INV-20251220-AI202"",
""airlineName"": ""Air India"",
""airlineLogoUrl"": ""https://cdn.example.com/logos/airindia.png"",
""departure"": ""2025-12-20T09:30:00"",
""arrival"": ""2025-12-20T11:45:00"",
""duration"": ""2h15m"",
""availableSeats"": 56,
""price"": 4500.0
}
]
}","Search is based on date/time, from place/to place, one way or round trip."
POST,/api/v1.0/flight/booking/{flightid},Content-Type: application/json; Authorization: Bearer <USER_TOKEN>,"{
""email"": ""bhavana@gmail.com"",
""contactName"": ""Bhavana Sree"",
""seatsToBook"": 2,
""passengers"": [
{
""name"": ""Asha"",
""gender"": ""F"",
""age"": 28,
""seatNumber"": ""12A"",
""meal"": ""VEG""
},
{
""name"": ""Ravi"",
""gender"": ""M"",
""age"": 30,
""seatNumber"": ""12B"",
""meal"": ""NON_VEG""
}
],
""paymentInfo"": {
""method"": ""CARD"",
""cardLast4"": ""4242""
},
""specialRequests"": ""Window seat if possible""
}",201 Created / 400 Bad Request / 409 SeatsUnavailable / 402 Payment Required,"{
""status"": ""BOOKED"",
""pnr"": ""PNR12345AB"",
""bookingId"": ""BK-20251201-0001"",
""totalAmount"": 9000.0,
""tickets"": [
{
""passenger"": ""Asha"",
""seat"": ""12A"",
""ticketId"": ""TCK-001""
},
{
""passenger"": ""Ravi"",
""seat"": ""12B"",
""ticketId"": ""TCK-002""
}
],
""downloadUrl"": ""/api/v1.0/flight/ticket/download/PNR12345AB""
}",Booking requires authenticated user. Generates unique PNR. Persists passenger details and payment txn id. Emails confirmation & downloadable e-ticket.
GET,/api/v1.0/flight/ticket/{pnr},Content-Type: application/json; Authorization: Bearer <USER_TOKEN or None>,N/A,200 OK / 404 Not Found,"{
""pnr"": ""PNR12345AB"",
""bookingId"": ""BK-20251201-0001"",
""status"": ""BOOKED"",
""travelDate"": ""2025-12-20"",
""from"": ""BLR"",
""to"": ""DEL"",
""passengers"": [
{
""name"": ""Asha"",
""age"": 28,
""gender"": ""F"",
""seat"": ""12A"",
""meal"": ""VEG""
}
],
""fareBreakdown"": {
""baseFare"": 4200.0,
""taxes"": 300.0,
""total"": 4500.0
}
}",Allows lookup by PNR even without login while some details are masked unless authenticated.
GET,/api/v1.0/flight/booking/history/{emailId},Content-Type: application/json; Authorization: Bearer <USER_TOKEN>,N/A,200 OK / 404 Not Found,"{
""email"": ""bhavana@gmail.com"",
""bookings"": [
{
""pnr"": ""PNR12345AB"",
""travelDate"": ""2025-12-20"",
""from"": ""BLR"",
""to"": ""DEL"",
""status"": ""BOOKED"",
""amount"": 4500.0
}
]
}",Displays previously booked tickets (booking history).
DELETE,/api/v1.0/flight/booking/cancel/{pnr},Content-Type: application/json; Authorization: Bearer <USER_TOKEN>,N/A,200 OK / 400 Bad Request / 403 Forbidden / 404 Not Found,"{
""status"": ""CANCELLED"",
""pnr"": ""PNR12345AB"",
""refundAmount"": 4300.0,
""message"": ""Cancelled successfully. Refund will be processed within 5-7 business days.""
}",Allow cancellation only if current_time <= travelDate - 24 hours. Apply cancellation rules & fees.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
